REGISTRO_ANIMAL rgd_pai rgd_mae idade_des classe_mae GCDES contagemGC peso_nasc pd_aj conformacao_des precocidade_des musculosidade_des umbigo_des sexo safra GM_DES faz datanas id_mae
B2119 0 X1897 227 2 F2009G01 46 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 32
B2120 0 X1851 232 4 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 12/8/2009 59
B2121 0 BR060313 232 2 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 12/8/2009 36
B2122 0 X0167 227 6 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 131
B2123 BIO199 Z0313 227 5 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 17/8/2009 97
B2124 TE1736 X0183 227 5 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 17/8/2009 107
B2125 BIO199 BM1246 227 5 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 17/8/2009 96
B2126 KAP2376 BM1576 227 5 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 93
B2127 RMS52 780199 227 3 F2009G01 46 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 45
B2128 0 BR040776 227 4 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 58
B2129 0 BM050248 227 4 F2009G01 46 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 49
B2130 TE1931 X0053 227 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 86
B2131 BIO199 BM0679 227 6 F2009G01 46 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 121
B2132 2628 X0342 288 5 F2009G01 46 40,00 177,81 3,00 5,00 5,00 1,00 F 2009 G01 FB 17/8/2009 85
B2133 BIO199 BM0872 227 6 M2009G01 41 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 17/8/2009 123
B2134 RMS50 BR040650 227 4 M2009G01 41 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G01 FB 17/8/2009 59
B2135 BIO199 BM1360 227 5 F2009G01 46 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G01 FB 17/8/2009 98
B2136 KAP2376 BM040563 227 4 M2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 57
B2137 BIO199 BM020308 227 5 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 84
B2138 BIO199 BM031000 227 4 F2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 69
B2139 0 X1869 227 3 F2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 47
B2140 TE1931 X0067 227 4 M2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 69
B2141 KAP2376 BM1022 227 6 F2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 122
B2142 KAP2376 KAPL0268 227 4 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 59
B2143 KAP2376 BM1379 227 5 F2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 99
B2144 BIO199 BM1125B 227 5 F2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 97
B2145 KAP2376 Z0222 227 5 M2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 85
B2146 RMS50 BR050798 227 3 M2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 47
B2147 TE1685 BR040907 227 4 F2009G02 38 0,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 58
B2148 TE1685 X0370 227 4 M2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 57
B2149 TE1685 X0016 227 4 M2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 70
B2150 RMS50 Z0544 227 5 M2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 86
B2151 TE2037 841 227 5 F2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 73
B2152 TE1685 X0497 227 5 M2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 94
B2153 0 BR1106 227 7 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 148
B2154 KAP2376 Z0239 227 5 M2009G02 38 27,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 73
B2155 TE1931 X0006 227 6 M2009G02 38 36,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 132
B2156 TE1931 X0438 227 3 M2009G02 38 35,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 46
B2157 BIO199 BM1687 227 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 97
B2158 KAP2376 BM0037 318 6 F2009G02 38 33,00 130,41 0,00 0,00 0,00 0,00 F 2009 G02 FB 17/8/2009 134
B2160 TE1685 GO040565 225 4 M2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 58
B2161 TE2037 BR0654 225 7 M2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 169
B2162 TE2037 BR2716 225 6 F2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 127
B2163 TE1685 X0473 225 5 M2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 95
B2164 TE1685 BR032736 316 5 F2009G02 38 39,00 133,03 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 81
B2165 TE1931 BR030982 225 4 F2009G02 38 41,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 72
B2166 TE1931 X0056A 225 5 M2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 83
B2167 TE1685 BR0127 225 7 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 157
B2168 BIO199 Z0364 225 5 F2009G02 38 30,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 98
B2169 TE1685 X0111 227 6 M2009G02 38 36,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 17/8/2009 121
B2170 KAP2376 BM1085 225 5 F2009G02 38 35,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 120
B2171 KAP2376 BM0977 225 6 F2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 122
B2172 TE1685 BR050400 316 3 F2009G02 38 36,00 132,03 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 48
B2173 KAP2376 Z0234 225 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 73
B2174 KAP2376 BM0657 225 6 F2009G02 38 31,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 122
B2175 KAP2376 Z0238 225 4 M2009G02 38 28,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 72
B2176 KAP2376 Z0281 225 4 M2009G02 38 30,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 57
B2177 TE1685 941854 225 4 F2009G02 38 34,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 19/8/2009 60
B2178 BIO199 Z0391 225 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 19/8/2009 120
B2179 0 X1911 314 4 F2009G02 38 39,00 143,33 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 57
B2180 KAP2376 BM030552 223 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 73
B2181 BIO199 Z0337 223 4 M2009G02 38 27,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 72
B2182 0 BR3596 223 5 M2009G02 38 35,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 107
B2183 TE1931 BR3299 223 5 F2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 110
B2184 BIO199 BM1614 223 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 91
B2185 KAP2376 Z0244 223 5 F2009G02 38 31,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 86
B2186 TE2648 GO0430 223 5 F2009G02 38 41,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 95
B2187 BIO199 BM1659 223 5 M2009G02 38 30,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 94
B2188 BIO199 CT8535 223 7 F2009G02 38 28,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 161
B2189 KAP2376 BM020121 223 5 F2009G02 38 26,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 85
B2190 TE2037 BM0004 223 6 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 134
B2191 TE1931 GO050422 223 3 M2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 47
B2192 TE1736 X0102 223 3 F2009G02 38 41,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 48
B2193 KAP2376 BM040259 223 4 F2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 59
B2194 KAP2376 BM1200 223 5 F2009G02 38 32,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 96
B2195 BIO199 BM1557 223 5 M2009G02 38 27,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 93
B2196 TE1685 BR2308 223 6 M2009G02 38 36,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 134
B2197 KAP2376 BM0699 223 5 M2009G02 38 28,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 120
B2198 TE2648 BR0948A 223 7 M2009G02 38 35,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 146
B2199 0 GO0300 223 5 M2009G02 38 37,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 95
B2200 TE2037 X0137 223 5 M2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 86
B2201 TE1685 BR031210 223 4 F2009G02 38 41,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 71
B2202 BIO199 BM1564 223 5 M2009G02 38 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 92
B2203 TE1736 BR2309 223 6 F2009G02 38 32,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 133
B2204 BIO199 BM031074 223 4 F2009G02 38 27,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 69
B2205 TE1685 X0127 223 4 F2009G02 38 39,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 49
B2207 KAP2376 Z0254 223 4 F2009G02 38 32,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 71
B2208 BIO199 Z0311 223 5 M2009G02 38 34,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 21/8/2009 96
B2209 TE2037 BR020161 223 5 F2009G02 38 38,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 21/8/2009 86
B2210 KAP2376 39 220 5 M2009G02 38 31,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 24/8/2009 95
B2211 BIO199 Z0334 220 5 F2009G02 38 32,00 0,00 0,00 0,00 0,00 0,00 F 2009 G02 FB 24/8/2009 86
B2212 TE2648 X0587 220 5 M2009G02 38 40,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 24/8/2009 83
B2214 0 KT050166 220 3 M2009G02 38 41,00 0,00 0,00 0,00 0,00 0,00 M 2009 G02 FB 24/8/2009 47
B2215 BIO199 BM0913 220 6 F2009G03 42 31,00 0,00 0,00 0,00 0,00 0,00 F 2009 G03 FB 24/8/2009 122
B2216 BIO199 BM0604 220 6 M2009G03 35 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G03 FB 24/8/2009 127
B2217 BIO199 Z0307 220 4 M2009G03 35 30,00 0,00 0,00 0,00 0,00 0,00 M 2009 G03 FB 24/8/2009 71
B2218 BIO199 BM0861 220 6 F2009G03 42 29,00 0,00 0,00 0,00 0,00 0,00 F 2009 G03 FB 24/8/2009 124
B2219 BIO199 BM031083 220 4 F2009G03 42 30,00 0,00 0,00 0,00 0,00 0,00 F 2009 G03 FB 24/8/2009 72
B2220 BIO199 BM0586 220 6 M2009G03 35 29,00 0,00 0,00 0,00 0,00 0,00 M 2009 G03 FB 24/8/2009 122
B2222 TE1931 X0174 220 5 F2009G03 42 40,00 0,00 0,00 0,00 0,00 0,00 F 2009 G03 FB 24/8/2009 83
